OrderBy,player1,player1,player1_score,player2_score,Event,winner
461,X-Ray,Goatreich,5,2,Season 5,X-Ray
460,Jumpie,Tadlos,5,4,Season 5,Jumpie
459,Hajin,Pikapi,5,1,Season 5,Hajin
458,Horken,X-Ray,5,0,Season 5,Horken
457,TotemGenbu,Kellerak,5,3,Season 5,TotemGenbu
456,Taokaka Meow,The Arpeggiator,5,2,Season 5,Taokaka Meow
455,Freemard,DarthSeppius,5,2,Season 5,Freemard
454,Hajin,Momotehk,5,4,Season 5,Hajin
453,Mental,Aby,5,4,Season 5,Mental
452,Gaspar,Jumpie,5,0,Season 5,Gaspar
451,Ganondeurf,Athena,5,4,Season 5,Ganondeurf
450,Pikapi,TotemGenbu,5,4,Season 5,Pikapi
449,Mental,Jumpie,5,3,Season 5,Mental
448,Aby,Baddy,5,2,Season 5,Aby
447,X-Ray,Samurai,5,0,Season 5,X-Ray
446,Momotehk,Tadlos,5,1,Season 5,Momotehk
445,Taokaka Meow,Gaspar,5,3,Season 5,Taokaka Meow
444,Athena,DarthSeppius,5,2,Season 5,Athena
443,X-Ray,TotemGenbu,5,2,Season 5,X-Ray
442,Kellerak,Zollith,5,1,Season 5,Kellerak
441,Freemard,Sett,5,1,Season 5,Freemard
440,WorldBranstar,Rosa,5,3,Season 5,WorldBranstar
439,Jumpie,Metabee,5,2,Season 5,Jumpie
438,Tadlos,Samurai,5,0,Season 5,Tadlos
437,SomethingRefined,Afflatus Misery,5,3,Season 5,SomethingRefined
436,Scarlet,DarthSeppius,5,4,Season 5,Scarlet
435,Scarlet,Tadlos,5,1,Season 5,Scarlet
434,Rosa,Lyonide,10,0,Season 5,Rosa
433,SomethingRefined,Tadlos,5,0,Season 5,SomethingRefined
432,Afflatus Misery,Patrick,10,9,Season 5,Afflatus Misery
431,Aby,Afflatus Misery,10,6,Season 5,Aby
430,Scarlet,Nashley,5,1,Season 5,Scarlet
429,DarthSeppius,MonkeyKing,5,3,Season 5,DarthSeppius
428,Ssylus,WorldBranstar,5,1,Season 5,Ssylus
427,Momotehk,Junky,5,0,Season 5,Momotehk
426,Zollith,Jumpie,5,1,Season 5,Zollith
425,Ssylus,Fotten,10,2,Season 5,Ssylus
424,Scarlet,Afflatus Misery,5,0,Season 5,Scarlet
423,Fanlee Jr,DarthSeppius,10,3,Season 5,Fanlee Jr
422,Lyonide,Scarlet,5,4,Season 5,Lyonide
421,Freemard,Aby,5,1,Season 5,Freemard
420,Ssylus,Noobycide,5,3,Season 5,Ssylus
419,Ganondeurf,WorldBranstar,10,7,Season 5,Ganondeurf
418,MonkeyKing,X-Ray,5,3,Season 5,MonkeyKing
417,Tadlos,Afflatus Misery,5,4,Season 5,Tadlos
416,WorldBranstar,JabberJayJay,5,4,Season 5,WorldBranstar
415,Scarlet,AutobahnAlpha,5,1,Season 5,Scarlet
414,Mental ,The Arpeggiator,5,3,Season 5,Mental 
413,Freemard,LozKias,5,2,Season 5,Freemard
412,Ssylus,DarthSeppius,5,1,Season 5,Ssylus
